Invoice_ID,Student_ID,Semester,Academic_Year,Invoice_Date,Due_Date,Tuition_Fee,Scholarship_Amount,Late_Fee,Total_Amount,Invoice_Status
INV0000617,STU000064,HK2,2025-2026,25/09/2025,2025-11-14,24197000,0,0,24197000,Partially Paid
INV0000618,STU000248,HK1,2028-2029,2028-01-01,2028-02-02,26695000,0,0,26695000,Issued
INV0000619,STU000152,HK Hè,2022-2023,2022-03-22,2022-04-17,24458000,12229000,0,12229000,Partially Paid
INV0000620,STU001191,HK2,2026-2027,2026-11-06,2026-12-23,34990000,0,0,34990000,Paid
INV0000621,STU000042,HK1,2022-2023,2022-11-07,2022-12-05,25975000,6494000,1377000,20858000,Issued
INV0000622,STU001453,HK Hè,2023-2024,2023-09-13,2023-10-21,30403000,15202000,730000,15931000,Issued
INV0000623,STU000176,HK2,2021-2022,2021-02-15,2021-03-07,20726000,0,267000,20993000,Partially Paid
INV0000624,STU000651,HK2,2026-2027,2026-05-31,2026-07-27,26070000,2607000,0,23463000,Paid
INV0000625,STU000529,HK Hè,2029-2030,2029-12-23,2030-02-07,34303000,0,0,34303000,Paid
INV0000626,STU000734,HK2,2022-2023,2022-01-22,2022-02-16,30405000,0,0,30405000,Issued
INV0000627,STU000490,HK2,2024-2025,2024-08-13,2024-09-21,17131000,0,708000,17839000,Overdue
INV0000628,STU000923,HK1,2022-2023,2022-03-28,2022-05-12,23641000,0,0,23641000,Overdue
INV0000629,STU000895,HK Hè,2023-2024,2023-12-26,2024-02-13,29730000,0,194000,29924000,Overdue
INV0000630,STU001385,HK1,2025-2026,2025-07-21,2025-09-18,28018000,7004000,0,21014000,Partially Paid
INV0000631,STU001071,HK Hè,2025-2026,2025-07-29,2025-09-09,23309000,0,0,23309000,Paid
INV0000632,STU000510,HK Hè,2025-2026,2025-06-15,14/07/2025,31879000,3188000,0,28691000,Paid
INV0000633,STU000083,HK2,2023-2024,2023-06-14,2023-08-09,13966000,0,1495000,15461000,Issued
INV0000634,STU001058,HK1,2022-2023,2022-10-13,2022-12-03,20253000,0,0,20253000,Paid
INV0000635,STU000211,HK Hè,2029-2030,2029-09-22,2029-10-20,26417000,0,734000,27151000,Paid
INV0000636,STU000121,HK1,2024-2025,2024-12-12,2025-02-06,13892000,0,0,13892000,Issued
INV0000637,STU000993,HK Hè,2025-2026,2025-04-28,2025-06-19,11001000,2750000,0,8251000,Partially Paid
INV0000638,STU000443,HK2,2028-2029,2028-09-07,2028-10-11,33540000,16770000,0,16770000,Overdue
INV0000639,STU001400,HK1,2028-2029,2028-12-19,2029-01-09,18191000,0,0,18191000,Overdue
INV0000640,STU000387,HK2,2024-2025,2024-09-12,2024-10-05,17992000,1799000,0,16193000,Paid
INV0000641,STU001388,HK Hè,2026-2027,2026-05-19,2026-06-22,23144000,0,0,23144000,Issued
INV0000642,STU000957,HK Hè,2023-2024,2023-07-27,2023-08-30,34694000,17347000,0,17347000,Partially Paid
INV0000643,STU000680,HK1,2027-2028,2027-07-23,2027-09-20,29985000,14992000,0,14993000,Paid
INV0000644,STU001475,HK1,2023-2024,2023-06-20,2023-08-16,33853000,3385000,0,30468000,Paid
INV0000645,STU000495,HK1,2026-2027,2026-06-18,2026-08-17,16068000,1607000,0,14461000,Partially Paid
INV0000646,STU001228,HK Hè,2024-2025,2024-01-28,2024-02-19,9991000,0,0,9991000,Partially Paid
INV0000647,STU001357,HK Hè,2027-2028,2027-07-29,2027-09-23,23955000,0,0,23955000,Overdue
INV0000648,STU000831,HK2,2023-2024,2023-03-19,2023-04-11,28000000,7000000,601000,21601000,Overdue
INV0000649,STU000447,HK Hè,2023-2024,2023-04-08,2023-06-02,27213000,2721000,0,24492000,Partially Paid
INV0000650,STU001079,HK2,2025-2026,2025-01-29,2025-03-01,27620000,2762000,0,24858000,Overdue
INV0000651,STU001382,HK2,2024-2025,2024-08-04,2024-09-29,14025000,1402000,0,12623000,Overdue
INV0000652,STU001218,HK2,2021-2022,2021-04-24,2021-06-01,12598000,0,0,12598000,Partially Paid
INV0000653,STU001020,HK Hè,2021-2022,2021-10-05,2021-11-14,32168000,8042000,206000,24332000,Paid
INV0000654,STU000306,HK Hè,2021-2022,2021-09-12,2021-10-04,33235000,3324000,989000,30900000,Issued
INV0000655,STU000841,HK1,2028-2029,2028-08-27,2028-10-18,13719000,0,0,13719000,Overdue
INV0000656,STU001430,HK2,2027-2028,2027-02-13,2027-04-08,24245000,12122000,0,12123000,Overdue
INV0000657,STU000495,HK2,2027-2028,2027-06-30,2027-08-04,26857000,13428000,0,13429000,Paid
INV0000658,STU001373,HK Hè,2022-2023,2022-01-14,2022-02-28,25399000,0,1480000,26879000,Partially Paid
INV0000659,STU000435,HK Hè,2026-2027,2026-01-31,2026-03-01,12421000,3105000,0,9316000,Overdue
INV0000660,STU001177,HK1,2026-2027,2026-09-14,2026-10-22,31198000,0,1100000,32298000,Partially Paid
INV0000661,STU001215,HK Hè,2022-2023,2022-07-01,2022-08-10,12503000,0,0,12503000,Partially Paid
INV0000662,STU000916,HK2,2023-2024,2023-11-18,2024-01-15,8214000,0,555000,8769000,Issued
INV0000663,STU001434,HK2,2025-2026,22/03/2025,2025-05-02,14654000,0,0,14654000,Paid
INV0000664,STU001063,HK1,2024-2025,2024-01-29,2024-03-22,27293000,2729000,0,24564000,Overdue
INV0000665,STU000637,HK1,2028-2029,2028-09-13,2028-10-09,16441000,8220000,1254000,9475000,Paid
INV0000666,STU000070,HK Hè,2022-2023,2022-09-15,2022-11-05,33516000,8379000,621000,25758000,Partially Paid
INV0000667,STU000127,HK2,2025-2026,2025-08-13,2025-09-23,31210000,15605000,0,15605000,Partially Paid
INV0000668,STU001025,HK1,2021-2022,2021-03-15,2021-04-05,20121000,10060000,1148000,11209000,Paid
INV0000669,STU001135,HK Hè,2025-2026,23/01/2025,2025-02-14,10891000,0,0,10891000,Paid
INV0000670,STU001465,HK1,2024-2025,2024-09-01,2024-09-28,29340000,14670000,355000,15025000,Overdue
INV0000671,STU000111,HK2,2025-2026,2025-01-13,2025-02-22,16897000,8448000,804000,9253000,Partially Paid
INV0000672,STU001053,HK Hè,2025-2026,2025-05-30,2025-07-13,13466000,6733000,0,6733000,Partially Paid
INV0000673,STU000581,HK2,2025-2026,11/10/2025,2025-12-06,15800000,0,0,15800000,Partially Paid
INV0000674,STU001083,HK2,2028-2029,2028-12-04,2029-01-10,27025000,0,0,27025000,Overdue
INV0000675,STU000112,HK2,2026-2027,2026-03-02,2026-04-12,34154000,8538000,0,25616000,Partially Paid
INV0000676,STU001227,HK Hè,2025-2026,2025-07-22,2025-08-24,23500000,0,0,23500000,Overdue
INV0000677,STU001076,HK1,2023-2024,2023-07-17,2023-08-22,30190000,0,0,30190000,Partially Paid
INV0000678,STU001483,HK1,2022-2023,2022-10-08,2022-11-01,15241000,0,0,15241000,Issued
INV0000679,STU001430,HK Hè,2025-2026,2025-12-12,2026-01-09,18577000,0,974000,19551000,Paid
INV0000680,STU001251,HK Hè,2024-2025,2024-11-21,2025-01-01,29586000,2959000,0,26627000,Partially Paid
INV0000681,STU001019,HK1,2025-2026,2025-05-24,2025-07-12,17707000,0,0,17707000,Paid
INV0000682,STU000286,HK2,2022-2023,2022-02-24,2022-04-12,21452000,0,1446000,22898000,Issued
INV0000683,STU000241,HK Hè,2022-2023,2022-01-30,2022-02-28,9809000,0,0,9809000,Issued
INV0000684,STU001234,HK2,2029-2030,2029-01-24,2029-02-26,19541000,4885000,0,14656000,Partially Paid
INV0000685,STU001489,HK Hè,2022-2023,2022-10-27,2022-12-03,30206000,7552000,0,22654000,Partially Paid
INV0000686,STU000118,HK2,2029-2030,2029-05-22,2029-06-25,31595000,0,0,31595000,Overdue
INV0000687,STU000090,HK Hè,2026-2027,2026-11-26,2027-01-08,32084000,0,1058000,33142000,Overdue
INV0000688,STU001425,HK1,2024-2025,2024-02-11,2024-03-03,21143000,0,0,21143000,Overdue
INV0000689,STU000621,HK2,2022-2023,2022-12-08,2023-01-29,24952000,0,0,24952000,Overdue
INV0000690,STU000972,HK Hè,2030-2031,2030-01-12,2030-02-05,20853000,0,0,20853000,Partially Paid
INV0000691,STU001015,HK2,2029-2030,19/07/2029,2029-08-19,26782000,6696000,164000,20250000,Issued
INV0000692,STU001339,HK Hè,2023-2024,2023-06-30,2023-08-27,21763000,0,0,21763000,Paid
INV0000693,STU000383,HK1,2027-2028,2027-07-20,2027-08-19,24070000,0,0,24070000,Paid
INV0000694,STU000434,HK1,2024-2025,2024-07-30,2024-08-23,16407000,0,406000,17157000,Paid
INV0000695,STU000359,HK1,2026-2027,2026-01-15,2026-03-12,9281000,4640000,0,4641000,Partially Paid
INV0000696,STU000448,HK Hè,2025-2026,2025-05-02,2025-05-25,31286000,0,0,31286000,Paid
INV0000697,STU000275,HK Hè,2023-2024,2023-08-13,2023-09-28,31649000,15824000,0,15825000,Overdue
INV0000698,STU001039,HK1,2028-2029,2028-11-21,2029-01-05,20733000,10366000,710000,11077000,Paid
INV0000699,STU000285,HK2,2025-2026,2025-09-30,2025-11-10,27776000,0,0,27776000,Paid
INV0000700,STU000532,HK Hè,2024-2025,2024-07-05,2024-08-15,25070000,12535000,0,12535000,Paid
INV0000701,STU000767,HK1,2027-2028,2027-08-31,2027-09-22,25260000,0,252000,25512000,Partially Paid
INV0000702,STU000301,HK2,2023-2024,2023-05-19,2023-07-06,20308000,2031000,0,18277000,Issued
INV0000703,STU000455,HK Hè,2026-2027,2026-08-07,11/09/2026,26876000,2688000,0,24188000,Partially Paid
INV0000704,STU000202,HK2,2027-2028,2027-06-03,2027-07-28,24604000,2460000,0,23623000,Issued
INV0000705,STU001257,HK1,2022-2023,2022-09-10,2022-10-06,8656000,2164000,0,6492000,Paid
INV0000706,STU000294,HK1,2022-2023,2022-08-15,2022-10-04,28676000,0,0,28676000,Issued
INV0000707,STU001474,HK1,2020-2021,2020-07-24,2020-08-27,29625000,0,0,29625000,Partially Paid
INV0000708,STU000112,HK2,2023-2024,2023-02-20,2023-03-14,24030000,0,0,24030000,Issued
INV0000709,STU000270,HK Hè,2020-2021,2020-09-01,2020-10-07,33321000,0,0,33321000,Issued
INV0000710,STU000323,HK2,2025-2026,2025-08-06,2025-10-04,8172000,0,623000,8795000,Issued
INV0000711,STU000796,HK2,2021-2022,2021-06-03,2021-07-31,25827000,0,0,25827000,Paid
INV0000712,STU001488,HK Hè,2023-2024,2023-02-11,2023-03-31,10950000,0,0,10950000,Paid
INV0000713,STU000416,HK Hè,2026-2027,2026-12-03,2027-01-08,28079000,0,0,28079000,Issued
INV0000714,STU000865,HK Hè,2024-2025,2024-01-04,2024-02-17,13958000,0,0,13958000,Paid
INV0000715,STU000099,HK2,2027-2028,2027-08-18,2027-09-11,15594000,3898000,0,11696000,Partially Paid
INV0000716,STU000278,HK2,2021-2022,2021-12-16,2022-01-17,25091000,6273000,0,18818000,Partially Paid
INV0000717,STU000822,HK Hè,2026-2027,2026-06-25,2026-07-27,26871000,0,0,26871000,Issued
INV0000718,STU000351,HK1,2023-2024,2023-07-26,2023-09-21,27809000,6952000,0,20857000,Partially Paid
INV0000719,STU000750,HK1,2028-2029,2028-03-05,2028-04-18,23526000,2353000,0,21173000,Overdue
INV0000720,STU000990,HK2,2028-2029,29/08/2028,2028-10-16,12718000,0,0,12718000,Paid
INV0000721,STU000992,HK1,2026-2027,2026-09-15,2026-10-19,9582000,0,456000,10038000,Paid
INV0000722,STU000735,HK1,2027-2028,2027-11-14,2028-01-06,14225000,0,1081000,15306000,Partially Paid
INV0000723,STU001425,HK2,2023-2024,2023-03-15,2023-04-29,27528000,0,0,27528000,Overdue
INV0000724,STU000434,HK2,2022-2023,2022-07-11,2022-08-06,14876000,0,809000,15685000,Paid
INV0000725,STU000774,HK Hè,2029-2030,2029-08-09,2029-09-08,21079000,0,0,21079000,Paid
INV0000726,STU000130,HK Hè,2025-2026,2025-10-27,2025-12-02,9154000,0,0,9154000,Overdue
INV0000727,STU000538,HK Hè,2023-2024,2023-03-16,2023-05-07,20425000,10212000,0,10213000,Issued
INV0000728,STU000862,HK1,2028-2029,2028-10-04,2028-10-30,30816000,0,0,30816000,Issued
INV0000729,STU000666,HK1,2025-2026,2025-11-20,2026-01-03,16985000,8492000,0,8493000,Paid
INV0000730,STU000931,HK1,2025-2026,2025-08-13,2025-09-14,17928000,1793000,0,16135000,Issued
INV0000731,STU001097,HK1,2022-2023,2022-01-16,2022-03-07,9563000,0,0,9563000,Issued
INV0000732,STU000820,HK2,2020-2021,2020-06-23,2020-08-06,17660000,1766000,0,15894000,Paid
INV0000733,STU001460,HK2,2021-2022,2021-08-18,2021-10-15,26137000,0,0,26137000,Paid
INV0000734,STU000065,HK2,2030-2031,2030-02-17,2030-04-14,33239000,0,831000,34070000,Overdue
INV0000735,STU000530,HK Hè,2025-2026,2025-02-18,11/04/2025,22452000,0,0,22452000,Paid
INV0000736,STU001095,HK2,2021-2022,2021-05-25,2021-07-13,12252000,6126000,0,6126000,Paid
INV0000737,STU001095,HK2,2024-2025,2024-09-26,2024-10-16,20298000,2030000,785000,19053000,Issued
INV0000738,STU000121,HK Hè,2022-2023,2022-02-04,2022-03-13,22082000,5520000,0,16562000,Issued
INV0000739,STU000293,HK1,2029-2030,2029-05-01,2029-06-22,30867000,0,0,30867000,Paid
INV0000740,STU000700,HK2,2028-2029,2028-12-23,2029-01-20,10738000,2684000,0,8054000,Overdue
INV0000741,STU000897,HK2,2026-2027,2026-10-14,2026-12-02,24838000,0,1455000,26293000,Overdue
INV0000742,STU000749,HK1,2022-2023,2022-05-22,2022-07-03,22568000,0,0,22568000,Overdue
INV0000743,STU001268,HK2,2024-2025,2024-03-22,2024-04-29,12541000,1254000,0,11287000,Paid
INV0000744,STU001187,HK1,2023-2024,2023-07-09,2023-08-24,13304000,1330000,1217000,13191000,Partially Paid
INV0000745,STU001296,HK2,2026-2027,2026-08-04,2026-09-23,20350000,2035000,0,18315000,Partially Paid
INV0000746,STU001141,HK Hè,2028-2029,2028-01-13,2028-02-21,16710000,8355000,0,8355000,Overdue
INV0000747,STU000624,HK Hè,2024-2025,2024-09-12,2024-10-08,8492000,849000,0,7643000,Paid
INV0000748,STU000074,HK Hè,2026-2027,2026-05-18,2026-06-07,18612000,1861000,0,16751000,Issued
INV0000749,STU001161,HK2,2026-2027,2026-10-09,2026-11-02,22519000,11260000,0,11259000,Issued
INV0000750,STU001176,HK2,2026-2027,2026-09-07,2026-10-14,13657000,0,0,13657000,Overdue
INV0000751,STU000575,HK Hè,2025-2026,2025-11-09,2025-12-21,12592000,0,0,12592000,Paid
INV0000752,STU001332,HK2,2024-2025,2024-05-12,2024-06-25,10811000,0,0,10811000,Partially Paid
INV0000753,STU001185,HK2,2027-2028,2027-07-14,2027-09-08,23108000,11554000,0,11554000,Partially Paid
INV0000754,STU000793,HK Hè,2027-2028,2027-07-08,2027-07-28,29340000,0,0,29340000,Partially Paid
INV0000755,STU000678,HK2,2021-2022,2021-08-08,2021-09-10,23812000,0,0,23812000,Paid
INV0000756,STU001213,HK1,2022-2023,2022-01-28,2022-02-22,19425000,0,1058000,20483000,Paid
INV0000757,STU000871,HK Hè,2028-2029,2028-09-02,2028-10-19,26900000,2690000,808000,25018000,Partially Paid
INV0000758,STU000533,HK2,2028-2029,2028-08-21,2028-09-10,11198000,5599000,789000,6388000,Partially Paid
INV0000759,STU000982,HK1,2028-2029,2028-04-01,2028-04-23,21548000,0,424000,21972000,Overdue
INV0000760,STU000482,HK1,2020-2021,2020-12-29,2021-02-19,30616000,0,0,30616000,Partially Paid
INV0000761,STU000431,HK2,2027-2028,2027-03-02,2027-04-20,27658000,0,0,27658000,Paid
INV0000762,STU000417,HK Hè,2024-2025,19/08/2024,2024-10-04,25710000,2571000,0,23139000,Issued
INV0000763,STU000325,HK1,2024-2025,2024-01-05,2024-02-02,27456000,0,0,27456000,Issued
INV0000764,STU000122,HK Hè,2023-2024,2023-01-12,2023-02-02,10666000,0,0,10666000,Overdue
INV0000765,STU000882,HK2,2026-2027,2026-03-06,2026-04-15,23417000,0,0,23417000,Overdue
INV0000766,STU000681,HK1,2028-2029,2028-07-02,2028-08-26,29584000,7396000,0,22188000,Paid
INV0000767,STU001376,HK1,2025-2026,2025-09-16,2025-10-31,17695000,8848000,0,8847000,Partially Paid
INV0000768,STU000416,HK Hè,2025-2026,2025-08-11,2025-09-21,27300000,6825000,0,20475000,Issued
INV0000769,STU001275,HK1,2023-2024,2023-06-03,2023-07-21,20443000,0,0,20443000,Overdue
INV0000770,STU000953,HK Hè,2026-2027,2026-05-21,2026-07-20,23639000,11820000,0,11819000,Overdue
INV0000771,STU001149,HK Hè,2026-2027,2026-03-29,2026-05-14,28054000,0,0,28054000,Partially Paid
INV0000772,STU000899,HK1,2026-2027,2026-04-22,2026-06-09,13515000,0,0,13515000,Overdue
INV0000773,STU000562,HK2,2026-2027,2026-09-08,2026-10-15,20267000,5067000,0,15200000,Paid
INV0000774,STU001110,HK1,2022-2023,2022-08-19,2022-09-11,28755000,0,0,28755000,Partially Paid
INV0000775,STU001421,HK2,2028-2029,2028-07-28,2028-09-20,15159000,0,0,15159000,Issued
INV0000776,STU001456,HK Hè,2020-2021,2020-08-24,2020-10-09,15178000,1518000,0,13660000,Partially Paid
INV0000777,STU001241,HK1,2023-2024,2023-10-07,2023-11-16,31221000,0,0,31221000,Issued
INV0000778,STU000451,HK2,2024-2025,2024-05-17,2024-06-29,8055000,0,0,8055000,Overdue
INV0000779,STU000271,HK1,2021-2022,2021-07-21,2021-09-12,27982000,0,0,27982000,Overdue
INV0000780,STU000660,HK Hè,2021-2022,2021-07-02,2021-08-29,20570000,2057000,0,18513000,Overdue
INV0000781,STU000988,HK1,2022-2023,2022-04-01,2022-04-23,23973000,11986000,1341000,13328000,Overdue
INV0000782,STU000990,HK Hè,2030-2031,2030-01-18,2030-03-13,31094000,0,0,31094000,Overdue
INV0000783,STU000621,HK1,2021-2022,2021-08-03,2021-09-10,23276000,2328000,0,20948000,Overdue
INV0000784,STU001079,HK2,2027-2028,2027-02-03,2027-03-03,23466000,5866000,657000,18257000,Issued
INV0000785,STU000502,HK2,2025-2026,2025-02-20,2025-03-16,26293000,0,0,26293000,Overdue
INV0000786,STU001194,HK1,2022-2023,2022-08-24,2022-09-30,15653000,7826000,532000,8359000,Paid
INV0000787,STU000843,HK Hè,2026-2027,2026-07-06,2026-08-28,10319000,0,0,10319000,Overdue
INV0000788,STU000103,HK1,2025-2026,2025-10-14,2025-11-14,9801000,4900000,0,4901000,Issued
INV0000789,STU001235,HK Hè,2024-2025,2024-05-08,2024-06-09,10031000,0,0,10031000,Overdue
INV0000790,STU000021,HK Hè,2025-2026,2025-07-31,2025-09-24,27967000,13984000,954000,14937000,Partially Paid
INV0000791,STU000245,HK1,2027-2028,2027-10-22,2027-12-16,18926000,1893000,0,17033000,Issued
INV0000792,STU000825,HK1,2025-2026,2025-08-24,2025-10-11,10499000,0,0,10499000,Paid
INV0000793,STU000305,HK Hè,2026-2027,2026-12-22,2027-02-04,25870000,0,0,25870000,Issued
INV0000794,STU000366,HK1,2028-2029,2028-08-30,2028-09-21,13707000,0,0,13707000,Partially Paid
INV0000795,STU000071,HK Hè,2022-2023,31/07/2022,2022-09-18,31933000,3193000,646000,29386000,Issued
INV0000796,STU000242,HK Hè,2029-2030,2029-05-25,2029-06-20,16286000,1629000,0,14657000,Overdue
INV0000797,STU000895,HK Hè,2025-2026,2025-01-07,2025-02-05,27753000,13876000,752000,14629000,Paid
INV0000798,STU000649,HK Hè,2025-2026,2025-10-03,2025-11-13,9962000,0,0,9962000,Overdue
INV0000799,STU000813,HK Hè,2025-2026,2025-12-25,2026-02-19,14846000,0,797000,15643000,Partially Paid
INV0000800,STU000809,HK2,2025-2026,2025-10-24,22/12/2025,9507000,0,0,9507000,Paid
INV0000801,STU000456,HK1,2028-2029,2028-05-09,2028-06-13,24993000,12496000,1398000,13895000,Issued
INV0000802,STU000216,HK Hè,2024-2025,2024-08-18,2024-10-12,28327000,0,0,28327000,Paid
INV0000803,STU001257,HK1,2023-2024,2023-04-01,2023-04-28,28176000,0,0,28176000,Paid
INV0000804,STU000712,HK1,2027-2028,2027-01-21,2027-03-15,20253000,5063000,1191000,16381000,Paid
INV0000805,STU000957,HK1,2021-2022,2021-09-26,2021-10-30,18604000,1860000,0,16744000,Issued
INV0000806,STU000352,HK2,2025-2026,2025-09-09,2025-10-04,11416000,2854000,0,8562000,Paid
INV0000807,STU001259,HK2,2030-2031,2030-02-06,2030-03-02,20020000,2002000,0,18018000,Issued
INV0000808,STU000986,HK2,2022-2023,2022-02-12,2022-03-16,23266000,2327000,1128000,22067000,Overdue
INV0000809,STU001037,HK1,2024-2025,2024-12-10,2025-01-22,24978000,0,457000,25435000,Paid
INV0000810,STU001074,HK1,2025-2026,2025-05-04,2025-06-13,21551000,2155000,0,19396000,Overdue
INV0000811,STU001286,HK2,2025-2026,2025-04-06,2025-04-26,27174000,6794000,0,20380000,Issued
INV0000812,STU000885,HK1,2027-2028,2027-11-20,2028-01-18,34152000,8538000,0,25614000,Paid
INV0000813,STU000672,HK2,2028-2029,2028-10-05,2028-11-01,25375000,12688000,0,12687000,Partially Paid
INV0000814,STU001204,HK2,2024-2025,2024-01-14,2024-02-18,18132000,0,0,18132000,Issued
INV0000815,STU000745,HK Hè,2023-2024,2023-09-07,2023-10-31,30502000,15251000,0,15251000,Overdue
INV0000816,STU000107,HK1,2027-2028,2027-12-23,2028-02-08,23803000,5951000,0,17852000,Paid
INV0000817,STU000440,HK1,2024-2025,2024-07-27,2024-09-25,17149000,0,0,17149000,Issued
INV0000818,STU000481,HK2,2021-2022,2021-09-13,2021-11-11,28597000,0,0,28597000,Paid
INV0000819,STU000210,HK1,2020-2021,2020-06-21,2020-08-14,19538000,4884000,475000,15129000,Paid
INV0000820,STU000882,HK Hè,2026-2027,2026-03-17,2026-04-23,12618000,1262000,0,11356000,Partially Paid
INV0000821,STU000522,HK Hè,2027-2028,2027-11-05,2027-12-17,9194000,4597000,0,4597000,Partially Paid
INV0000822,STU000900,HK Hè,2020-2021,2020-01-07,2020-02-29,29721000,0,0,29721000,Partially Paid
INV0000823,STU000752,HK1,2023-2024,2023-12-31,2024-02-03,30141000,7535000,0,22606000,Overdue
INV0000824,STU001329,HK2,2023-2024,2023-07-05,2023-08-05,22687000,5672000,0,17015000,Issued
INV0000825,STU000648,HK Hè,2026-2027,2026-03-18,2026-05-04,12071000,3018000,0,9053000,Partially Paid
INV0000826,STU000853,HK2,2022-2023,2022-11-04,2022-12-19,20228000,2023000,0,18205000,Partially Paid
INV0000827,STU001216,HK2,2026-2027,2026-04-01,2026-05-24,29290000,0,0,29290000,Paid
INV0000828,STU000867,HK2,2024-2025,2024-06-14,2024-07-13,17687000,0,0,17687000,Paid
INV0000829,STU001140,HK2,2025-2026,2025-10-14,2025-11-13,31743000,0,0,31743000,Paid
INV0000830,STU001457,HK1,2023-2024,2023-07-07,2023-08-17,18544000,4636000,643000,14551000,Paid
INV0000831,STU000279,HK2,2026-2027,2026-06-06,2026-07-20,22580000,11290000,0,11290000,Issued
INV0000832,STU000507,HK2,2023-2024,2023-04-13,2023-05-08,33330000,0,0,33330000,Overdue
INV0000833,STU001283,HK2,2026-2027,2026-02-07,2026-03-04,10632000,5316000,0,5316000,Issued
INV0000834,STU000194,HK2,2025-2026,2025-06-17,2025-07-21,30041000,0,0,30041000,Overdue
INV0000835,STU001181,HK1,2022-2023,2022-03-01,2022-04-15,33660000,0,199000,33859000,Partially Paid
INV0000836,STU000810,HK Hè,2024-2025,2024-04-04,2024-05-11,32977000,3298000,451000,30130000,Overdue
INV0000837,STU000060,HK2,2024-2025,2024-06-24,2024-08-02,32920000,0,0,32920000,Overdue
INV0000838,STU000343,HK1,2020-2021,2020-05-21,2020-07-13,24982000,0,1164000,26146000,Partially Paid
INV0000839,STU001239,HK Hè,2025-2026,2025-08-12,2025-09-29,19551000,1955000,0,17596000,Issued
INV0000840,STU000991,HK Hè,2023-2024,2023-04-09,2023-05-10,14084000,7042000,885000,7927000,Partially Paid
INV0000841,STU001247,HK1,2025-2026,2025-09-15,2025-10-26,18187000,0,0,18187000,Overdue
INV0000842,STU001097,HK2,2023-2024,2023-11-27,2023-12-30,31466000,0,0,31466000,Overdue
INV0000843,STU000441,HK1,2023-2024,2023-04-16,2023-06-04,13822000,1382000,0,12440000,Overdue
INV0000844,STU001450,HK Hè,2027-2028,2027-12-13,2028-01-16,8871000,0,0,8871000,Paid
INV0000845,STU000267,HK1,2022-2023,2022-09-05,2022-09-27,19343000,0,1440000,20783000,Partially Paid
INV0000846,STU001288,HK1,2023-2024,2023-12-19,2024-01-30,21134000,0,248000,21382000,Issued
INV0000847,STU000694,HK Hè,2021-2022,2021-03-31,2021-05-07,34328000,0,0,34328000,Partially Paid
INV0000848,STU000249,HK Hè,2028-2029,2028-02-26,2028-04-05,25461000,12730000,0,12731000,Partially Paid
INV0000849,STU001159,HK Hè,2027-2028,2027-01-07,2027-02-15,34588000,0,0,34588000,Paid
INV0000850,STU000486,HK2,2025-2026,2025-06-30,2025-08-13,21239000,10620000,0,10619000,Paid
INV0000851,STU000035,HK1,2027-2028,2027-03-09,2027-04-17,15417000,3854000,754000,12317000,Issued
INV0000852,STU001437,HK Hè,2022-2023,2022-08-03,2022-08-27,13633000,0,0,13633000,Partially Paid
INV0000853,STU000955,HK1,2026-2027,2026-06-16,2026-08-06,25503000,12752000,0,12751000,Issued
INV0000854,STU001352,HK1,2023-2024,2023-04-24,2023-05-15,12726000,0,0,12726000,Issued
INV0000855,STU000206,HK1,2022-2023,2022-10-24,2022-11-28,17964000,0,0,17964000,Paid
INV0000856,STU000972,HK Hè,2029-2030,2029-07-08,2029-08-30,34299000,17150000,0,17149000,Partially Paid
INV0000857,STU000519,HK2,2026-2027,2026-09-13,2026-10-14,30643000,0,0,30643000,Issued
INV0000858,STU000376,HK Hè,2021-2022,2021-10-02,2021-10-28,10296000,2574000,0,7722000,Overdue
INV0000859,STU000739,HK2,2027-2028,2027-03-26,2027-04-26,31907000,0,0,31907000,Partially Paid
INV0000860,STU001408,HK1,2021-2022,2021-08-20,2021-09-17,12358000,0,0,12358000,Issued
INV0000861,STU001245,HK1,2030-2031,2030-07-18,2030-08-22,24864000,0,0,24864000,Partially Paid
INV0000862,STU000019,HK1,2028-2029,2028-11-23,2029-01-08,24264000,6066000,0,18198000,Partially Paid
INV0000863,STU000327,HK Hè,2026-2027,2026-12-26,08/02/2027,9628000,4814000,0,4814000,Partially Paid
INV0000864,STU000135,HK1,2025-2026,26/07/2025,2025-08-25,15661000,3915000,1305000,13051000,Issued
INV0000865,STU000254,HK1,2026-2027,2026-03-28,2026-05-20,28031000,7008000,0,21023000,Partially Paid
INV0000866,STU001001,HK Hè,2023-2024,2023-10-20,2023-11-29,17939000,0,0,17939000,Overdue
INV0000867,STU000772,HK2,2028-2029,2028-11-02,2028-12-13,29318000,7330000,182000,22170000,Overdue
INV0000868,STU001134,HK2,2022-2023,2022-11-07,2022-12-29,29700000,2970000,0,26730000,Partially Paid
INV0000869,STU000175,HK1,2027-2028,2027-03-26,2027-05-23,15616000,0,541000,16157000,Paid
INV0000870,STU001284,HK Hè,2026-2027,2026-02-06,2026-03-25,8517000,4258000,0,4259000,Paid
INV0000871,STU001133,HK Hè,2025-2026,2025-07-09,2025-07-29,27995000,0,1324000,29319000,Paid
INV0000872,STU000264,HK2,2025-2026,2025-08-28,2025-09-28,15552000,3888000,536000,12200000,Overdue
INV0000873,STU000713,HK2,2027-2028,2027-06-21,2027-07-12,30278000,15139000,0,15139000,Partially Paid
